epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.08,1.06114,2.90024,1.66677,0.44925,0.50821,0.49015,0.32934,1.10851,1.559,1.61306,0.00333251,0.00333251,0.00333251
2,2285,0.99271,1.62733,1.57426,0.52171,0.54843,0.55961,0.38431,1.07142,1.38354,1.55393,0.00600593,0.00600593,0.00600593
3,3411.41,0.99497,1.40756,1.58307,0.55299,0.55931,0.60203,0.41566,1.06205,1.26263,1.54533,0.00801934,0.00801934,0.00801934
4,4522.76,0.96596,1.29299,1.55759,0.64074,0.60899,0.67398,0.49298,0.99801,1.11179,1.47207,0.00703,0.00703,0.00703
5,5604.72,0.91043,1.16395,1.49723,0.66491,0.66624,0.73381,0.54786,0.96016,1.0229,1.42636,0.00604,0.00604,0.00604
6,6701.28,0.87552,1.06213,1.46351,0.69779,0.70954,0.77046,0.58516,0.93941,0.96253,1.40353,0.00505,0.00505,0.00505
7,1329.52,0.96461,1.44317,1.37612,0.68993,0.69765,0.77157,0.58301,0.93823,0.95725,1.41043,0.00406,0.00406,0.00406
8,2631.6,0.88648,1.30471,1.3242,0.71511,0.69205,0.78267,0.59414,0.92222,0.92965,1.39399,0.00307,0.00307,0.00307
9,3930.68,0.84545,1.23076,1.30082,0.75102,0.70858,0.79807,0.60981,0.90981,0.90173,1.38192,0.00208,0.00208,0.00208
10,5223.88,0.8175,1.17791,1.28265,0.74489,0.71937,0.80319,0.61704,0.89901,0.89055,1.36994,0.00109,0.00109,0.00109
